name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Recreation and Parks Properties
525 Golden Gate,956935023348360657,drinking_water,0,1,0,0,37.7809272,-122.419371,525 Golden Gate,San Francisco,CA,94102,,limited_access,08:00:00,17:00:00,Weekdays,,puc,POINT (-122.419371 37.7809272),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,21,4,10,36,
Bayview Pit Stop - 2500 Jennings St,3068763388383169130,restroom,0,0,0,0,37.724533,-122.39084,2500 Jennings St,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.39084 37.724533),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,
Pier 27 Beltline Building,7267887821631352683,drinking_water,1,0,0,0,,,29 San Francisco Pier 33,,,,,out_of_service,,,,,port,,,,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,,,,,
Tenderloin Pit Stop - Taylor and Turk streets,7460298997726487520,restroom,0,0,0,0,37.783207,-122.41083,Taylor and Turk streets,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.41083 37.783207),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,20,5,10,36,
"Mid-Market Pit Stop - Market Street, between Hyde and 7th streets",5961780263829161949,restroom,0,0,0,0,37.779766,-122.41363,"Market Street, between Hyde and 7th streets",San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.41363 37.779766),5,Tenderloin,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,21,5,10,36,
Chowder Hut,1529365743775458966,restroom,0,0,0,0,37.8087793,-122.4155999,2890 Taylor St,San Francisco,CA,94133,,publicly_accessible,,,Daily,Porta Potty,port,POINT (-122.4155999 37.8087793),3,North Beach,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,99,6,3,23,
Crane Cove Park,3854442721173284396,restroom,0,0,0,0,37.76309,-122.3878,18th street and Illinois St,San Francisco,CA,94107,,limited_access,,,Daily,,port,POINT (-122.3878 37.76309),10,Potrero Hill,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,55,2,9,26,
Golden Gate Park County Fair Bldg,267201242479838480,restroom,0,0,0,0,37.76651029566745,-122.46712993061563,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.467129931 37.766510296),7,Golden Gate Park,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,9,8,11,12,231
Shoreview Park - Drinking Fountain - Bottle Filler,7845817676701733207,drinking_water,1,1,0,0,37.73177917,-122.38125781,17 Lillian Ct,San Francisco,CA,94124,Shoreview Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.381257807 37.731779173),10,Bayview Hunters Point,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,86,2,9,1,201
Eureka Valley Branch Library/ Harvey Milk Memorial Branch Library,8214720885853823779,drinking_water,1,0,0,0,37.76406037000004,-122.43188171699995,1 Jose Sarria Ct,San Francisco,CA,94114,,limited_access,,,Daily,"opening_hours = [""Sunday:13:00-17:00"",""Monday:10:00-18:00"",""Tuesday:10:00-20:00"",""Wednesday:10:00-20:00"",""Thursday:10:00-18:00"",""Friday:13:00-18:00"",""Saturday:10:00-18:00"",""Total Weekly Hours:53""]",library,POINT (-122.431881717 37.76406037),8,Castro/Upper Market,2024/03/01 11:23:48 AM,2024/03/01 11:29:55 AM,38,3,5,5,49
